url,Product link,Thumb image,Brand value,Product value,Strike value,Price value,Discount value,Sizes description
http://www.myntra.com/men-bottomwear,"U.S. Polo Assn.\nNavy Slim Tapered Fit Jeans\nRs. 4,099Rs. 2,459(40% off)\nSizes: 28, 30, 32, 34, 36, 38","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1142152/2016/6/14/11465901841490-US-Polo-Assn-Navy-Slim-Tapered-Fit-Jeans-9771465901841184-1_mini.jpg",U.S. Polo Assn.,Navy Slim Tapered Fit Jeans,"Rs. 4,099","Rs. 2,459",(40% off),"Sizes: 28, 30, 32, 34, 36, 38"
http://www.myntra.com/men-bottomwear,"Roadster\nMen Grey Flat-Front Casual Trousers\nRs. 1,399Rs. 979(30% off)\nSizes: 28, 30, 32, 34, 36","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1327262/2016/9/1/11472707769856-Roadster-Men-Grey-Solid-Regular-Fit-Flat-Front-Trousers-211472707769675-1_mini.jpg",Roadster,Men Grey Flat-Front Casual Trousers,"Rs. 1,399",Rs. 979,(30% off),"Sizes: 28, 30, 32, 34, 36"
http://www.myntra.com/men-bottomwear,"Hubberholme\nMen Carcoal Grey Slim Clean Look Stretchable Jeans\nRs. 999Rs. 599(40% off)\nSizes: 30, 32, 34, 36, 38, 40, 42","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1443858/2016/8/29/11472475372720-Hubberholme-Men-Grey-Slim-Fit-Mid-Rise-Clean-Look-Stretchable-Jeans-3261472475372526-1_mini.jpg",Hubberholme,Men Carcoal Grey Slim Clean Look Stretchable Jeans,Rs. 999,Rs. 599,(40% off),"Sizes: 30, 32, 34, 36, 38, 40, 42"
http://www.myntra.com/men-bottomwear,"French Connection\nMen Maroon Chinos Trousers\nRs. 3,699Rs. 1,479(60% off)\nSizes: 30, 32, 34, 36","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/643479/2016/9/19/11474264503369-French-Connection-Men-Maroon-Trousers-4751474264503160-1_mini.jpg",French Connection,Men Maroon Chinos Trousers,"Rs. 3,699","Rs. 1,479",(60% off),"Sizes: 30, 32, 34, 36"
http://www.myntra.com/men-bottomwear,"HRX by Hrithik Roshan\nNavy Melange Active Track Pants\nRs. 2,299Rs. 1,379(40% off)\nSizes: S, M, L, XL","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1128649/2016/6/6/11465192888029-HRX-by-Hrithik-Roshan-Navy-Melange-Active-Track-Pants-5161465192887791-1_mini.jpg",HRX by Hrithik Roshan,Navy Melange Active Track Pants,"Rs. 2,299","Rs. 1,379",(40% off),"Sizes: S, M, L, XL"
http://www.myntra.com/men-bottomwear,"FILA\nNavy TYRA Track Pants\nRs. 1,399Rs. 979(30% off)\nSizes: S, M, L, XL, XXL","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1502691/2016/10/2/11475403275937-FILA-Navy-TYRA-Track-Pants-151475403275670-1_mini.jpg",FILA,Navy TYRA Track Pants,"Rs. 1,399",Rs. 979,(30% off),"Sizes: S, M, L, XL, XXL"
http://www.myntra.com/men-bottomwear,"Roadster\nMen Blue Slim Fit Mid-Rise Jeans\nRs. 1,799Rs. 1,259(30% off)\nSizes: 28, 32, 34, 36","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1472324/2016/9/1/11472717153576-Roadster-Men-Blue-Slim-Fit-Mid-Rise-Mildly-Distressed-Jeans-6951472717153296-1_mini.jpg",Roadster,Men Blue Slim Fit Mid-Rise Jeans,"Rs. 1,799","Rs. 1,259",(30% off),"Sizes: 28, 32, 34, 36"
http://www.myntra.com/men-bottomwear,"Mast & Harbour\nBlack Slim Fit Chino Trousers\nRs. 2,499Rs. 1,499(40% off)\nSizes: 28, 30, 34, 36","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1262958/2016/8/1/11470029564856-Mast--Harbour-Black-Slim-Fit-Chino-Trousers-951470029554926-1_mini.jpg",Mast & Harbour,Black Slim Fit Chino Trousers,"Rs. 2,499","Rs. 1,499",(40% off),"Sizes: 28, 30, 34, 36"
http://www.myntra.com/men-bottomwear,"Celio\nMen Blue Skinny Fit Mid-Rise Clean Look Jeans\nRs. 2,499Rs. 1,749(30% off)\nSizes: 30, 32, 33, 34, 36, 38","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1513808/2016/10/15/11476518396384-Celio-Men-Blue-Skinny-Fit-Mid-Rise-Clean-Look-Jeans-3351476518395983-1_mini.jpg",Celio,Men Blue Skinny Fit Mid-Rise Clean Look Jeans,"Rs. 2,499","Rs. 1,749",(30% off),"Sizes: 30, 32, 33, 34, 36, 38"
http://www.myntra.com/men-bottomwear,"HIGHLANDER\nBeige Casual Trousers\nRs. 999Rs. 599(40% off)\nSizes: 30, 32, 34, 36, 38","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1380188/2016/6/15/11465972067211-Highlander-Beige-Casual-Trousers-5321465972066984-1_mini.jpg",HIGHLANDER,Beige Casual Trousers,Rs. 999,Rs. 599,(40% off),"Sizes: 30, 32, 34, 36, 38"
http://www.myntra.com/men-bottomwear,"Replay\nBlue Washed Jondrill Fit Jeans\nRs. 12,499\nSizes: 30, 31, 32, 33, 34","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1452406/2016/8/5/11470379374960-Replay-Men-Jeans-5801470379374681-1_mini.jpg",Replay,Blue Washed Jondrill Fit Jeans,,"Rs. 12,499",,"Sizes: 30, 31, 32, 33, 34"
http://www.myntra.com/men-bottomwear,"SUITLTD\nSULTLTD Teal Blue Slim Fit Chino Trousers\nRs. 1,695Rs. 678(60% off)\nSizes: 30, 32, 34, 36, 38","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1354900/2016/6/13/11465811884241-SUITLTD-Men-Trousers-5611465811883956-1_mini.jpg",SUITLTD,SULTLTD Teal Blue Slim Fit Chino Trousers,"Rs. 1,695",Rs. 678,(60% off),"Sizes: 30, 32, 34, 36, 38"
http://www.myntra.com/men-bottomwear,"WROGN\nMen Black Solid Slim Fit Cuffed Trousers\nRs. 1,999Rs. 1,599(20% off)\nSizes: 30, 32, 34, 36","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1427916/2016/10/19/11476875423535-WROGN-Men-Trousers-1631476875423241-1_mini.jpg",WROGN,Men Black Solid Slim Fit Cuffed Trousers,"Rs. 1,999","Rs. 1,599",(20% off),"Sizes: 30, 32, 34, 36"
http://www.myntra.com/men-bottomwear,"Roadster\nMen Blue Slim Fit Mid-Rise Mildly Distressed Jeans\nRs. 1,899Rs. 1,329(30% off)\nSizes: 30, 32, 34, 36","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1472326/2016/9/1/11472726753831-Roadster-Men-Blue-Slim-Fit-Mid-Rise-Mildly-Distressed-Jeans-41472726753594-1_mini.jpg",Roadster,Men Blue Slim Fit Mid-Rise Mildly Distressed Jeans,"Rs. 1,899","Rs. 1,329",(30% off),"Sizes: 30, 32, 34, 36"
http://www.myntra.com/men-bottomwear,"Lawman pg3\nBlack Slim Fit Jeans\nRs. 2,399Rs. 1,079(55% off)\nSizes: 30, 32, 34, 36, 38","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1431359/2016/8/16/11471330287550-Lawman-pg3-Men-Jeans-3681471330287336-1_mini.jpg",Lawman pg3,Black Slim Fit Jeans,"Rs. 2,399","Rs. 1,079",(55% off),"Sizes: 30, 32, 34, 36, 38"
http://www.myntra.com/men-bottomwear,"LOCOMOTIVE\nBlue Washed Super Slim Fit Jeans\nRs. 3,199Rs. 1,279(60% off)\nSizes: 30, 32, 34, 36, 38","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1422838/2016/7/29/11469790042154-Locomotive-Blue-Washed-Super-Slim-Fit-Jeans-401469790041823-1_mini.jpg",LOCOMOTIVE,Blue Washed Super Slim Fit Jeans,"Rs. 3,199","Rs. 1,279",(60% off),"Sizes: 30, 32, 34, 36, 38"
http://www.myntra.com/men-bottomwear,"Mast & Harbour\nBlack Skinny Differential Length Jeans\nRs. 1,899Rs. 1,519(20% off)\nSizes: 28/31, 30/33, 30/31, 30/29, 32/33, 32/31, 32/29, 34/33, 34/31, 34/29, 36/31, 36/29","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1465608/2016/9/24/11474700024182-Mast--Harbour-Men-Black-Skinny-Fit-Mid-Rise-Clean-Look-Jeans-2461474700023899-1_mini.jpg",Mast & Harbour,Black Skinny Differential Length Jeans,"Rs. 1,899","Rs. 1,519",(20% off),"Sizes: 28/31, 30/33, 30/31, 30/29, 32/33, 32/31, 32/29, 34/33, 34/31, 34/29, 36/31, 36/29"
http://www.myntra.com/men-bottomwear,"U.S. Polo Assn.\nDark Blue Tapered Slim Fit Jeans\nRs. 2,899Rs. 1,884(35% off)\nSizes: 30, 32, 34, 36, 38","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1142169/2016/6/11/11465628824226-US-Polo-Assn-Men-Jeans-4431465628823918-1_mini.jpg",U.S. Polo Assn.,Dark Blue Tapered Slim Fit Jeans,"Rs. 2,899","Rs. 1,884",(35% off),"Sizes: 30, 32, 34, 36, 38"
http://www.myntra.com/men-bottomwear,"WROGN\nMen Blue Slim Fit Mid-Rise Clean Look Jeans\nRs. 2,399Rs. 1,919(20% off)\nSizes: 28, 30, 32, 34, 36","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1502365/2016/9/16/11474023574672-WROGN-Men-Blue-Slim-Fit-Mid-Rise-Clean-Look-Jeans-3751474023574525-1_mini.jpg",WROGN,Men Blue Slim Fit Mid-Rise Clean Look Jeans,"Rs. 2,399","Rs. 1,919",(20% off),"Sizes: 28, 30, 32, 34, 36"
http://www.myntra.com/men-bottomwear,"Replay\nMen Blue Slim Fit Mid-Rise Low Distress Jeans\nRs. 17,999Rs. 12,599(30% off)\nSizes: 30, 31, 32, 33, 34, 36, 38","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1565984/2016/10/20/11476958184488-Replay-Men-Jeans-5011476958184228-1_mini.jpg",Replay,Men Blue Slim Fit Mid-Rise Low Distress Jeans,"Rs. 17,999","Rs. 12,599",(30% off),"Sizes: 30, 31, 32, 33, 34, 36, 38"
http://www.myntra.com/men-bottomwear,"Moda Rapido\nMen Blue Skinny Fit Mid-Rise Clean Look Jeans\nRs. 1,499Rs. 1,424(5% off)\nSizes: 28, 30, 32, 34, 36","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1355423/2016/8/24/11472015464774-Moda-Rapido-Men-Blue-Skinny-Fit-Mid-Rise-Clean-Look-Jeans-9151472015464614-1_mini.jpg",Moda Rapido,Men Blue Skinny Fit Mid-Rise Clean Look Jeans,"Rs. 1,499","Rs. 1,424",(5% off),"Sizes: 28, 30, 32, 34, 36"
http://www.myntra.com/men-bottomwear,"Roadster\nBlue Slim Fit Jeans\nRs. 1,799Rs. 1,259(30% off)\nSizes: 30, 32, 34, 36","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1310566/2016/8/17/11471415061209-Roadster-Blue-Slim-Fit-Jeans-5241471415061049-1_mini.jpg",Roadster,Blue Slim Fit Jeans,"Rs. 1,799","Rs. 1,259",(30% off),"Sizes: 30, 32, 34, 36"
http://www.myntra.com/men-bottomwear,"Jack & Jones\nBlue Washed Boxy Loose Fit Jeans\nRs. 3,995Rs. 2,796(30% off)\nSizes: 28/32, 30/32, 32/34, 34/34, 36/34, 38/34","http://assets.myntassets.com/h_240,q_95,w_180/v1/image/style/properties/922093/Jack--Jones-Blue-Washed-Boxy-Loose-Fit-Jeans_1_260422fdda8d09ad0385ca9db932f2da_mini.jpg",Jack & Jones,Blue Washed Boxy Loose Fit Jeans,"Rs. 3,995","Rs. 2,796",(30% off),"Sizes: 28/32, 30/32, 32/34, 34/34, 36/34, 38/34"
http://www.myntra.com/men-bottomwear,"Mast & Harbour\nBlue Slim Differential Length Mid-Rise Jeans\nRs. 1,699Rs. 1,019(40% off)\nSizes: 28/33, 28/31, 28/29, 30/33, 30/31, 30/29, 32/33, 32/31, 32/29, 34/33, 34/31, 34/29, 36/33, 36/31, 36/29","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1465588/2016/9/20/11474350951407-Mast--Harbour-Men-Blue-Slim-Fit-Mid-Rise-Clean-Look-Jeans-4631474350951215-1_mini.jpg",Mast & Harbour,Blue Slim Differential Length Mid-Rise Jeans,"Rs. 1,699","Rs. 1,019",(40% off),"Sizes: 28/33, 28/31, 28/29, 30/33, 30/31, 30/29, 32/33, 32/31, 32/29, 34/33, 34/31, 34/29, 36/33, 36/31, 36/29"
http://www.myntra.com/men-bottomwear,"Levis\nBlue Low-Rise Slim Jeans 511\nRs. 1,999\nSizes: 28, 30, 32, 34, 36, 38, 40","http://assets.myntassets.com/h_240,q_95,w_180/v1/image/style/properties/900587/Levis-Men-Jeans_1_fc84b541088088c1215aac770b580e62_mini.jpg",Levis,Blue Low-Rise Slim Jeans 511,,"Rs. 1,999",,"Sizes: 28, 30, 32, 34, 36, 38, 40"
http://www.myntra.com/men-bottomwear,"LOCOMOTIVE\nOlive Green Casual Trousers\nRs. 2,399Rs. 959(60% off)\nSizes: 30, 32, 34, 36, 38","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1208860/2016/10/28/11477638106580-Locomotive-Olive-Green-Casual-Trousers-7611477638106333-1_mini.jpg",LOCOMOTIVE,Olive Green Casual Trousers,"Rs. 2,399",Rs. 959,(60% off),"Sizes: 30, 32, 34, 36, 38"
http://www.myntra.com/men-bottomwear,"Roadster\nMen Green Solid Regular Fit Chino Trousers\nRs. 1,899Rs. 1,329(30% off)\nSizes: 28, 30, 32, 34, 36","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1276480/2016/8/20/11471688875002-Roadster-Men-Trousers-8431471688874704-1_mini.jpg",Roadster,Men Green Solid Regular Fit Chino Trousers,"Rs. 1,899","Rs. 1,329",(30% off),"Sizes: 28, 30, 32, 34, 36"
http://www.myntra.com/men-bottomwear,"WROGN\nBlue Washed Slim Fit Jeans\nRs. 2,599Rs. 2,079(20% off)\nSizes: 28, 30, 32, 34, 36","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1427626/2016/8/9/11470740880994-WROGN-Blue-Washed-Slim-Fit-Jeans-2881470740880680-1_mini.jpg",WROGN,Blue Washed Slim Fit Jeans,"Rs. 2,599","Rs. 2,079",(20% off),"Sizes: 28, 30, 32, 34, 36"
http://www.myntra.com/men-bottomwear,"Roadster\nMen Khaki Chino Trousers\nRs. 1,399Rs. 979(30% off)\nSizes: 28, 30, 32, 34, 36","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1327259/2016/9/1/11472709188115-Roadster-Men-Khaki-Solid-Regular-Fit-Chinos-3951472709187805-1_mini.jpg",Roadster,Men Khaki Chino Trousers,"Rs. 1,399",Rs. 979,(30% off),"Sizes: 28, 30, 32, 34, 36"
http://www.myntra.com/men-bottomwear,"Rodamo\nBlack Slim Fit Jeans\nRs. 1,499Rs. 749(50% off)\nSizes: 30, 32, 34, 36","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1349307/2016/5/31/11464687538720-Rodamo-Black-Slim-Jeans-8191464687538440-1_mini.jpg",Rodamo,Black Slim Fit Jeans,"Rs. 1,499",Rs. 749,(50% off),"Sizes: 30, 32, 34, 36"
http://www.myntra.com/men-bottomwear,"Roadster\nMen Blue Slim Fit Mid-Rise Mildly Distressed Jeans\nRs. 1,799Rs. 1,259(30% off)\nSizes: 30, 32, 34, 36","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1472328/2016/9/1/11472726265755-Roadster-Men-Blue-Slim-Fit-Mid-Rise-Mildly-Distressed-Jeans-3191472726265391-1_mini.jpg",Roadster,Men Blue Slim Fit Mid-Rise Mildly Distressed Jeans,"Rs. 1,799","Rs. 1,259",(30% off),"Sizes: 30, 32, 34, 36"
http://www.myntra.com/men-bottomwear,"Roadster\nMen Blue Slim Fit Mid Rise Clean Look Jeans\nRs. 1,799Rs. 1,079(40% off)\nSizes: 30, 32, 34, 36","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1310595/2016/9/23/11474609184211-Roadster-Men-Blue-Slim-Fit-Mid-Rise-Clean-Look-Jeans-9301474609183964-1_mini.jpg",Roadster,Men Blue Slim Fit Mid Rise Clean Look Jeans,"Rs. 1,799","Rs. 1,079",(40% off),"Sizes: 30, 32, 34, 36"
http://www.myntra.com/men-bottomwear,"Replay\nMen Navy Skinny Fit Mid-Rise Clean Look Jeans\nRs. 12,999\nSizes: 30, 31, 32, 33, 34","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1565990/2016/10/20/11476946852114-Replay-Men-Jeans-8601476946851885-1_mini.jpg",Replay,Men Navy Skinny Fit Mid-Rise Clean Look Jeans,,"Rs. 12,999",,"Sizes: 30, 31, 32, 33, 34"
http://www.myntra.com/men-bottomwear,"Scotch & Soda\nMen Blue Stuart Slim Fit Chino Trousers\nRs. 8,999Rs. 6,299(30% off)\nSizes: 30, 34, 36, 38","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1478471/2016/9/14/11473845101379-Scotch--Soda-Men-Blue-Solid-Slim-Fit-Chinos-6661473845101085-1_mini.jpg",Scotch & Soda,Men Blue Stuart Slim Fit Chino Trousers,"Rs. 8,999","Rs. 6,299",(30% off),"Sizes: 30, 34, 36, 38"
http://www.myntra.com/men-bottomwear,"Moda Rapido\nBlue Washed Skinny Fit Jeans\nRs. 1,399Rs. 1,189(15% off)\nSizes: 28, 30, 32, 34, 36, 38","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1420472/2016/7/22/11469174174201-Moda-Rapido-Blue-Washed-Skinny-Fit-Jeans-7171469174173864-1_mini.jpg",Moda Rapido,Blue Washed Skinny Fit Jeans,"Rs. 1,399","Rs. 1,189",(15% off),"Sizes: 28, 30, 32, 34, 36, 38"
http://www.myntra.com/men-bottomwear,"WROGN\nMen Black Solid Slim Fit Chino Trousers\nRs. 2,599\nSizes: 30, 32, 34, 36","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1427919/2016/10/13/11476362353974-WROGN-Men-Trousers-6151476362353686-1_mini.jpg",WROGN,Men Black Solid Slim Fit Chino Trousers,,"Rs. 2,599",,"Sizes: 30, 32, 34, 36"
http://www.myntra.com/men-bottomwear,"Nike\nBlue EM India Repl T20 Track Pants\nRs. 2,995Rs. 1,797(40% off)\nSizes: S, M, L, XL","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1219558/2016/8/26/11472188175641-Nike-Blue-EM-India-Repl-T20-Track-Pants-561472188174347-1_mini.jpg",Nike,Blue EM India Repl T20 Track Pants,"Rs. 2,995","Rs. 1,797",(40% off),"Sizes: S, M, L, XL"
http://www.myntra.com/men-bottomwear,"Jack & Jones\nMen Blue Skinny Fit Jeans\nRs. 3,495Rs. 2,446(30% off)\nSizes: 29/32, 31/32, 32/34, 32/32, 33/34, 34/34, 34/32, 36/34, 38/34","http://assets.myntassets.com/h_240,q_95,w_180/v1/image/style/properties/679645/Jack--Jones-Men-Jeans_1_1a376004b8dcf9f707cb1a50386cab59_mini.jpg",Jack & Jones,Men Blue Skinny Fit Jeans,"Rs. 3,495","Rs. 2,446",(30% off),"Sizes: 29/32, 31/32, 32/34, 32/32, 33/34, 34/34, 34/32, 36/34, 38/34"
http://www.myntra.com/men-bottomwear,"American Crew\nMen Blue Jeans\nRs. 2,499Rs. 999(60% off)\nSizes: 30, 32, 34, 36, 38","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1549643/2016/10/21/11477040409082-American-Crew-Men-Jeans-7211477040408754-1_mini.jpg",American Crew,Men Blue Jeans,"Rs. 2,499",Rs. 999,(60% off),"Sizes: 30, 32, 34, 36, 38"
http://www.myntra.com/men-bottomwear,"Reebok\nGrey DIST. COR Polyester Training Track Pants\nRs. 1,299Rs. 844(35% off)\nSizes: S, M, L, XL","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1438177/2016/7/29/11469788402816-Reebok-Men-Track-Pants-4421469788408939-1_mini.jpg",Reebok,Grey DIST. COR Polyester Training Track Pants,"Rs. 1,299",Rs. 844,(35% off),"Sizes: S, M, L, XL"
http://www.myntra.com/men-bottomwear,"Roadster\nMen Charcoal Grey Solid Regular Fit Chino Trousers\nRs. 1,399Rs. 909(35% off)\nSizes: 30, 32, 34, 36","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1357406/2016/8/26/11472210175940-Roadster-Charcoal-Grey-Casual-Trousers-921472210175674-1_mini.jpg",Roadster,Men Charcoal Grey Solid Regular Fit Chino Trousers,"Rs. 1,399",Rs. 909,(35% off),"Sizes: 30, 32, 34, 36"
http://www.myntra.com/men-bottomwear,"Hubberholme\nMen Olive Brown Slim Stretchable Chino Trousers\nRs. 1,299Rs. 649(50% off)\nSizes: 32, 34, 36, 38, 40","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1491405/2016/9/16/11474015294614-Hubberholme-Men-Brown-Solid-Slim-Fit-Chinos-2931474015294398-1_mini.jpg",Hubberholme,Men Olive Brown Slim Stretchable Chino Trousers,"Rs. 1,299",Rs. 649,(50% off),"Sizes: 32, 34, 36, 38, 40"
http://www.myntra.com/men-bottomwear,"Roadster\nMen Blue Slim Fit Mid Rise Clean Look Jeans\nRs. 1,799Rs. 1,259(30% off)\nSizes: 28, 30, 32, 34, 36","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1310542/2016/9/1/11472728794550-Roadster-Men-Blue-Slim-Fit-Mid-Rise-Clean-Look-Jeans-9761472728794138-1_mini.jpg",Roadster,Men Blue Slim Fit Mid Rise Clean Look Jeans,"Rs. 1,799","Rs. 1,259",(30% off),"Sizes: 28, 30, 32, 34, 36"
http://www.myntra.com/men-bottomwear,"Replay\nMen Blue Mid-Rise Mildly Distressed Jeans\nRs. 13,999Rs. 9,799(30% off)\nSizes: 30, 31, 32, 33, 34, 36, 38","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1565986/2016/10/19/11476865049363-Replay-Men-Jeans-721476865048940-1_mini.jpg",Replay,Men Blue Mid-Rise Mildly Distressed Jeans,"Rs. 13,999","Rs. 9,799",(30% off),"Sizes: 30, 31, 32, 33, 34, 36, 38"
http://www.myntra.com/men-bottomwear,"Flying Machine\nBlue Slim Cargo Trousers\nRs. 2,299Rs. 1,379(40% off)\nSizes: 30, 32, 34, 38","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1002038/2015/10/12/11444645810324-Flying-Machine-Men-Trousers-7151444645809911-1_mini.jpg",Flying Machine,Blue Slim Cargo Trousers,"Rs. 2,299","Rs. 1,379",(40% off),"Sizes: 30, 32, 34, 38"
http://www.myntra.com/men-bottomwear,"FILA\nCharcoal Grey ZELTA Track Pants\nRs. 1,299Rs. 909(30% off)\nSizes: S, M, L, XL, XXL","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1502684/2016/10/2/11475403268397-FILA-Charcoal-Grey-ZELTA-Track-Pants-8891475403268105-1_mini.jpg",FILA,Charcoal Grey ZELTA Track Pants,"Rs. 1,299",Rs. 909,(30% off),"Sizes: S, M, L, XL, XXL"
http://www.myntra.com/men-bottomwear,"Roadster\nBlue Jeans\nRs. 1,999Rs. 1,399(30% off)\nSizes: 30, 32, 34, 36","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1155892/2016/5/23/11463982636531-Roadster-Blue-Jeans-7541463982636311-1_mini.jpg",Roadster,Blue Jeans,"Rs. 1,999","Rs. 1,399",(30% off),"Sizes: 30, 32, 34, 36"
http://www.myntra.com/men-bottomwear,"Flying Machine\nBlue Michael Slim Tapered Jeans\nRs. 2,599Rs. 1,819(30% off)\nSizes: 30, 32, 34, 36","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1271256/2016/4/7/11460013901149-Flying-Machine-Blue-Michael-Slim-Tapered-Jeans-7541460013900491-1_mini.jpg",Flying Machine,Blue Michael Slim Tapered Jeans,"Rs. 2,599","Rs. 1,819",(30% off),"Sizes: 30, 32, 34, 36"
http://www.myntra.com/men-bottomwear,"Levis\nBlack Skinny Straight Fit Jeans 65504\nRs. 2,399\nSizes: 28, 30, 32, 34, 36, 38","http://assets.myntassets.com/h_240,q_95,w_180/v1/image/style/properties/900620/Levis-Black-Low-Rise-Skinny-Straight-Jeans_1_1d02128da1b011ba004a597488e846df_mini.jpg",Levis,Black Skinny Straight Fit Jeans 65504,,"Rs. 2,399",,"Sizes: 28, 30, 32, 34, 36, 38"
